Film,Year,Script Type,Primary Genre,Genres,Distributor,Rotten Tomatoes Audience ,Rotten Tomatoes Critics,Metacritic Critics,Average Critics,Metacritic Audience,Opening Weekend ($),Opening Weekend ($million),Domestic Gross,Domestic Gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),Budget Recovered (Percentage),Budget Recovered Opening Weekend (Percentage)
Pathfinder: Legend of the Ghost Warrior,2007,remake,nan,"period, adventure",nan,36,11,29,20,48,5001214,5,10232081,10.23,20.59,20590780,30822861,31,26,118.55,19.24
Pathfinder: Legend of the Ghost Warrior,2007,remake,nan,"period, adventure",nan,36,11,29,20,48,5001214,5,10232081,10.23,20.59,20590780,30822861,31,26,118.55,19.24
Patriots Day,2016,adaptation,nan,Drama,nan,85,79,70,74.5,65,161306,0.16,713831,1,1.5,1500000,2213831,2.21,45,5,0.36
Paul,2011,original screenplay,nan,"adventure, comedy, sci-fi",nan,70,72,57,65,70,13040000,13.04,37410000,37.41,60.57,60570000,97980000,97.98,40,244.95,32.6
Paul Blart: Mall Cop ,2009,original screenplay,nan,"action, comedy, crime",nan,50,33,39,36,51,31800000,31.8,146330000,146.33,36.95,36950000,183280000,183.28,26,704.92,122.31
Paul Blart: Mall Cop 2,2015,sequel,nan,comedy,nan,36,5,13,9,24,23762435,23.76,71038190,71.04,36.49,36492537,107530727,108,30,358.44,79.21
"Paul, Apostle of Christ",2018,original screenplay,nan,drama,nan,81,47,52,50,75,5172585,5.2,17547999,18,5,5008871,22556870,226,5,451.14,103.45
Paws of Fury: The Legend of Hank,2022,nan,animation,"action, comedy, family",Paramount Pictures,67,54,45,50,42,6321423,6.3,17811382,17.8,22.4,22354756,40166138,40.2,45,89.26,14.05
Pearl,2022,nan,drama,"horror, thriller",A24,82,93,76,85,67,3128427,3.1,9423445,9.4,0.7,716648,10140093,10.1,1,1014.01,312.84
Penguins of Madagascar,2014,sequel,nan,"adventure, comedy, animation, family",nan,64,72,53,63,66,25447444,25.45,83350911,83.35,290.2,290201183,373552094,374,132,282.99,19.28
Peppermint,2018,original screenplay,nan,"action, thriller",nan,74,12,29,21,63,13423255,13.4,35418723,35,16,16400000,51818723,518,25,207.27,53.69
Percy Jackson & the Olympians: The Lightning Thief,2010,adaptation,nan,"adventure, family, fantasy",nan,57,50,47,49,52,31200000,31.2,88770000,88.77,137.73,137730000,226500000,226.5,95,238.42,32.84
Percy Jackson: Sea of Monsters,2013,sequel,nan,"Action, Adventure, Drama, Fantasy, Famiily",nan,56,42,39,41,52,14401054,14.4,68559554,68.56,131.29,131290761,199850315,200,90,222.06,16
Pet Sematary,2019,adaptation,nan,"mystery, thriller, horror",Paramount Pictures,43,59,57,58,61,24502775,24.5,24502775,24.5,17.3,17300000,41802775,41.8,21,199.06,116.67
Peter Rabbit,2018,adaptation,nan,adventure,nan,58,64,51,58,65,25010928,25,115234093,115,236,235984098,351218191,3512,50,702.44,50.02
PeteÃ¢ÂÂs Dragon,2016,remake / reboot,nan,Adventure,nan,78,86,71,78.5,67,21514095,21.51,75799398,75.8,65.84,65843814,141643212,141.64,65,218,33.1
Philomena,2013,based on a true story,nan,Drama,nan,89,92,76,84,79,128435,0.13,37709979,37.71,62.42,62419893,100129872,100,12,834.42,1.07
Phoenix Forgotten,2017,original screenplay,nan,"sci-fi, horror",nan,42,44,33,39,32,1816499,1.82,3600146,3.6,0,0,3600146,3.6,2.8,128.58,64.87
Piranha 3-D,2010,remake / reboot,nan,"comedy, horror",nan,45,74,53,64,57,10100000,10.1,25000000,25,58.19,58190000,83190000,83.19,24,346.63,42.08
"Pirate Radio (The Boat that Rocked, UK)",2009,original screenplay,nan,"comedy, music ",nan,72,60,58,59,63,2900000,2.9,8010000,8.01,28.33,28330000,36340000,36.34,50,72.68,5.8
Pirates of the Caribbean: At World's End,2007,sequel,nan,"period, adventure",nan,72,45,50,48,61,114732820,114.73,309420425,309.42,651.58,651576067,960996492,961,300,320.33,38.24
Pirates of the Caribbean: At World's End,2007,sequel,nan,"period, adventure",nan,72,45,50,48,61,114732820,114.73,309420425,309.42,651.58,651576067,960996492,961,300,320.33,38.24
Pirates of the Caribbean: Dead Men Tell No Tales,2017,sequel,nan,"period, adventure",nan,62,30,39,35,63,62983253,62.98,172558876,172.56,622.3,622302918,794861794,794.86,230,345.59,27.38
Pirates of the Caribbean: On Stranger Tides,2011,sequel,nan,"action, adventure, fantasy",nan,61,34,45,40,64,90150000,90.15,241070000,241.07,804.64,804640000,1045710000,1045.71,250,418.28,36.06
Pitch Perfect,2012,adaptation,nan,"comedy, music, romance",nan,83,81,66,74,78,5149433,5.15,65001093,65,48.04,48040982,113042075,113,17,664.95,30.29
Pitch Perfect 2,2015,sequel,nan,comedy,nan,67,66,63,65,57,69216890,69.22,183785415,183.79,101.38,101380369,285165784,285,29,983.33,238.68
Pixels,2015,adaptation,nan,"action, comedy",nan,51,17,27,22,53,24011616,24.01,78747585,78.75,164.82,164819305,243566890,244,88,276.78,27.29
Planes,2013,original screenplay,nan,"Adventure, Comedy, Animation, Family",nan,50,26,39,33,34,22232291,22.23,90288712,90.29,148.97,148970000,239258712,239,50,478.52,44.46
Planes: Fire & Rescue,2014,sequel,nan,"adventure, comedy, animation, family",nan,57,44,48,46,59,17509407,17.51,59165787,59.17,92,92000000,151165787,151,50,302.33,35.02
Planet 51 ,2009,original screenplay,nan,"animation, adventure, comedy",nan,45,22,39,31,51,12300000,12.3,42190000,42.19,63.45,63450000,105640000,105.64,70,150.91,17.57
Playing with Fire,2019,original screenplay,nan,comedy,Paramount Pictures,78,22,24,23,34,12723781,12.7,39835194,39.8,7,7027580,46862774,46.9,29,161.6,43.79
Playmobile: The Movie,2019,original screenplay,nan,"action, adventure, comedy",STX Entertainment,60,17,25,21,36,656530,0.7,1083213,1.1,12.7,12676777,13759990,13.8,40,34.4,1.75
Please Give,2010,original screenplay,nan,comedy,nan,62,88,78,83,74,100000,0.1,4030000,4.03,0.28,280000,4310000,4.31,3,143.67,3.33
Point Break,2015,remake / reboot,nan,Action,nan,30,9,34,22,37,9800252,10,28782481,28.78,104.94,104936230,133718711,133.72,105,127,9.33
PokÃÂ©mon: Detective Pikachu,2019,adaptation,nan,adventure,Warner Bros. Pictures,80,68,53,61,76,54365242,54.4,144105346,144.1,287.6,287600000,431705346,431.7,150,287.8,36.27
Poltergeist,2015,remake / reboot,nan,horror,nan,23,31,47,39,36,22260386,22.26,47425125,47.43,48.01,48012869,95437994,95,35,272.68,63.6
Poms,2019,original screenplay,nan,comedy,STX Entertainment,75,34,36,35,57,5361937,5.4,13631124,13.6,2.8,2787094,16418218,16.4,10,164.18,54
Popstar: Never Stop Never Stopping,2016,original screenplay,nan,Comedy,nan,67,77,68,72.5,74,4698715,4.7,9496130,9.5,0.04,40990,9537120,9.54,20,48,23.49
Post Grad ,2009,original screenplay,nan,"comedy, romance",nan,31,7,35,21,66,2600000,2.6,6380000,6.38,0.03,30000,6380000,6.38,15,42.53,17.33
Power Rangers,2017,adaptation,nan,"action, adventure",nan,66,44,44,44,69,40300288,40.3,85364450,85.36,56.97,56972790,142337240,142.34,100,142.34,40.3
Predators,2010,sequel,nan,"action, adventure, sci-fi",nan,52,64,51,58,63,24800000,24.8,52000000,52,75.23,75230000,127230000,127.23,40,318.08,62
Premium Rush,2012,original screenplay,nan,"action, crime, thriller",nan,60,76,66,71,68,6030164,6.03,20275446,20.28,10.81,10808153,31083599,31,35,88.81,17.23
Premonition,2007,original screenplay,nan,thriller,nan,50,8,29,19,55,17558689,17.56,47852604,47.85,36.14,36143751,83996355,84,20,419.98,87.79
Premonition,2007,original screenplay,nan,thriller,nan,50,8,29,19,55,17558689,17.56,47852604,47.85,36.14,36143751,83996355,84,20,419.98,87.79
Pride & Prejudice & Zombies,2016,adaptation,nan,Comedy,nan,46,42,45,43.5,57,5324240,5.32,10907291,10.91,5.47,5467037,16374328,16.37,28,58,19.02
Priest,2011,adaptation,nan,"action, fantasy, horror",nan,37,17,41,29,50,14950000,14.95,29140000,29.14,49.17,49170000,78310000,78.31,60,130.52,24.92
Prince of Persia: The Sands of Time,2010,adaptation,nan,"action, adventure, fantasy",nan,71,36,50,43,74,30000000,30,90760000,90.76,245.61,245610000,336370000,336.37,200,168.19,15
Prisoners,2013,original screenplay,nan,"Drama, Thriller, Crime",nan,87,82,74,78,83,20817053,20.82,61002302,61,61.12,61124385,122126687,122,46,265.49,45.25
Prometheus,2012,original screenplay,nan,"adventure, mystery, sci-fi",nan,69,74,65,70,65,51050101,51.05,126477084,126.48,276.88,276877385,403354469,403,130,310.27,39.27
Promising Young Woman,2020,original screenplay,thriller,nan,Focus Features,87,90,72,81,72,719305,0.7,6460965,6.5,12.4,12393201,18854166,18.9,10,188.54,7
Proud Mary,2018,original screenplay,nan,action,nan,48,28,35,32,43,9959053,10,20868638,21,1,884727,21753365,218,14,155.38,71.14
Public Enemies ,2009,adaptation,nan,"biography, crime, history",nan,65,67,70,69,65,25200000,25.2,97100000,97.1,117,117000000,214100000,214.1,100,214.1,25.2
Push ,2009,original screenplay,nan,"action, sci-fi, thriller",nan,47,22,36,29,70,10100000,10.1,31810000,31.81,17.04,17040000,48850000,48.85,38,128.55,26.58
Puss In Boots,2011,adaptation,nan,"animation, adventure, comedy",nan,76,83,65,74,73,34080000,34.08,149260000,149.26,405.73,405730000,554990000,554.99,130,426.92,26.22
Puss in Boots: The Last Wish,2022,nan,adventure,"mystery, fantasy, comedy",Universal Pictures,94,95,73,84,88,12429515,12.4,185535345,185.5,299.1,299120313,484655658,484.7,90,538.51,13.81
Queen & Slim,2019,original screenplay,nan,drama,Universal Pictures,93,83,75,79,57,11890490,11.9,19490160,19.5,0,0,19490160,19.5,30,64.97,39.67
R.I.P.D.,2013,adaptation,nan,"Action, Fantasy, Comedy, Crime",nan,39,13,25,19,47,12691415,12.69,33618855,33.62,44.71,44705365,78324220,78,130,60.25,9.76
Race,2016,based on a true story,nan,Drama,nan,78,61,56,58.5,65,7353922,7.35,19115191,19.12,5.86,5864054,24979245,24.98,5,500,147.08
Race to Witch Mountain ,2009,adaptation,nan,"action, adventure, family",nan,50,42,52,47,68,24400000,24.4,67170000,67.17,39.21,39210000,106380000,106.38,50,212.76,48.8
Raid,2018,based on a true story,nan,drama,nan,65,71,48,60,64,423817,0.4,1010385,1,0,0,1010385,10,4.2,24.06,10.09
Ralph Breaks the Internet,2018,sequel,nan,animation,nan,67,88,71,80,68,56237634,56.2,187164171,187,218,217884434,405048605,4050,175,231.46,32.14
Rambo: Last Blood,2019,sequel,nan,action,Lionsgate,82,27,26,27,79,18872919,18.9,44819352,44.8,42.2,42222444,87041796,87,50,174.08,37.8
Rampage,2018,adaptation,nan,action,nan,77,53,45,49,60,35753093,35.8,99345950,99,327,326900000,426245950,4262,120,355.2,29.79
Rango,2011,original screenplay,nan,"animation, adventure, comedy",nan,69,88,75,82,74,38080000,38.08,123480000,123.48,122.25,122250000,245730000,245.73,135,182.02,28.21
Ratatouille,2007,original screenplay,nan,animation,nan,87,97,96,97,86,47027395,47.03,206445654,206.45,414.98,414979184,621424838,621,150,414.28,31.35
Ratatouille,2007,original screenplay,nan,animation,nan,87,97,96,97,86,47027395,47.03,206445654,206.45,414.98,414979184,621424838,621,150,414.28,31.35
Ratchet & Clank,2016,adaptation,nan,Adventure,nan,45,18,29,23.5,65,4869278,4.87,8813410,8.81,3,3000000,11813410,11.81,20,59,24.35
Ready Player One,2018,adaptation,nan,adventure,nan,78,72,64,68,74,41764050,41.8,137018455,137,445,445000000,582018455,5820,175,332.58,23.87
Ready or Not,2019,original screenplay,nan,comedy,Fox Searchlight,78,89,64,77,65,8015590,8,28714231,28.7,28.7,28723219,57437450,57.4,6,957.29,133.33
Real Steel,2011,adaptation,nan,"action, sci-fi",nan,81,58,56,57,71,27320000,27.32,85470000,85.47,213.8,213800000,299270000,299.27,110,272.06,24.84
Red,2010,adaptation,nan,"action, comedy, crime",nan,72,71,60,66,70,21800000,21.8,90380000,90.38,108.63,108630000,199010000,199.01,58,343.12,37.59
Red 2,2013,sequel,nan,"Action, Thriller, Comedy, Crime",nan,63,43,47,45,67,18048422,18.05,53262560,53.26,94.81,94813005,148075565,148,84,176.28,21.49
Red Dawn (2012),2012,remake / reboot,nan,"action, thriller, war",nan,52,12,31,22,45,14276668,14.28,44806783,44.81,4,4000000,44806787,45,65,68.93,21.96
Red Riding Hood,2011,adaptation,nan,"fantasy, horror, mystery",nan,41,11,29,20,42,14010000,14.01,37660000,37.66,51.5,51500000,89160000,89.16,42,212.29,33.36
Red Sparrow,2018,adaptation,nan,"thriller, suspense",nan,50,47,53,50,53,16853422,16.9,46874505,47,105,104698129,151572634,1516,69,219.67,24.43
Red State,2011,original screenplay,nan,"action, horror, thriller",nan,59,57,50,54,64,204230,0.2,1100000,1.1,0.77,769778,1100001,1,4,27.5,5.11
Red Tails,2012,based on a true story,nan,"action, adventure",nan,58,40,46,43,59,18782154,19,49876377,50,489121,489000,50365377,50,58,86.84,32.38
Remember Me,2010,original screenplay,nan,romance,nan,70,28,40,34,80,8000000,8,19070000,19.07,36.96,36960000,56030000,56.03,16,350.19,50
Replicas,2019,original screenplay,nan,"sci-fi, drama, mystery, thriller, crime",Entertainment Studios,37,10,19,15,42,2375325,2.4,4046429,4,0,0,4046429,4,30,13.49,8
Repo Men,2010,adaptation,nan,"action, crime, sci-fi",nan,43,22,32,27,56,6100000,6.1,13790000,13.79,4.62,4620000,18410000,18.41,32,57.53,19.06
Resident Evil: Afterlife,2010,sequel,nan,"action, adventure, horror",nan,53,24,37,31,54,26700000,26.7,60130000,60.13,236.09,236090000,296220000,296.22,60,493.7,44.5
Resident Evil: Retribution,2012,sequel,nan,"action, horror, sci-fi",nan,51,31,39,35,50,21052227,21.05,42345531,42.35,197.81,197813724,240159255,240,65,369.48,32.39
Resident Evil: The Final Chapter,2017,"sequel, adaptation",nan,"sci-fi, action",nan,49,36,49,43,50,13601682,13.6,26830068,26.83,285.41,285412558,312242626,312.24,40,780.61,34
Richard Jewell,2019,based on a true story,nan,"drama, crime, biography",Warner Bros. Pictures,96,77,68,73,75,4705265,4.7,22345542,22.3,20.7,20746668,43092210,43.1,45,95.76,10.44
Ricki and the Flash,2015,original screenplay,nan,"comedy, drama",nan,51,64,54,59,69,6610961,6.61,26822144,26.82,13.27,13270979,40093123,40,18,222.74,36.73
Riddick,2013,sequel,nan,"Action, Sci-Fi, Thriller",nan,54,59,49,54,72,19030375,19.03,42025135,42.03,56.31,56312160,98337295,98,38,258.78,50.08
Ride Along,2014,original screenplayÃ,nan,"action, comedy, adventure, family, animation",nan,59,18,41,30,55,41516170,41.52,134938200,134.94,19.06,19059619,153997819,154,25,615.99,166.06
Ride Along 2,2016,sequel,nan,Comedy,nan,49,14,32,23,46,35243095,35.24,90862685,90.86,33.38,33383467,124246152,124.25,40,311,88.11
Rings,2017,sequel,nan,horror,nan,24,7,25,16,39,13002632,13,27793018,27.79,55.29,55287872,83080890,83.08,25,332.32,52.01
Rio,2011,original screenplay,nan,"animation, adventure, comedy",nan,73,71,63,67,72,39230000,39.23,143620000,143.62,341.02,341020000,484640000,484.64,90,538.49,43.59
Rio 2,2014,sequel,nan,"adventure, comedy, animation, family",nan,59,48,49,49,62,39327869,39.33,131538435,131.54,368.65,368650000,500188435,500,103,485.62,38.18
Rise of the Guardians,2012,adaptation,nan,"animation, adventure, family",nan,81,74,57,66,75,23773465,23.77,103412758,103.41,203.53,203528912,306941670,307,145,211.68,16.4
Rise of the Planet of the Apes,2011,remake / reboot,nan,"action, sci-fi",nan,87,83,68,76,77,54810000,54.81,176700000,176.7,305.04,305040000,481740000,481.74,93,518,58.94
Risen,2016,original screenplay,nan,Drama,nan,71,52,51,51.5,72,11801271,11.8,36880033,36.88,9.19,9189535,46069568,46.07,20,230,59.01
Robin Hood,2018,adaptation,nan,"action, adventure",nan,45,16,32,24,35,9195670,9.2,30798508,31,43,42740595,73539103,735,100,73.54,9.2
Robin Hood,2010,adaptation,nan,"action, adventure",nan,59,42,53,48,62,36000000,36,105270000,105.27,216.4,216400000,321670000,321.67,200,160.84,18
RoboCop (2014),2014,remake / reboot,nan,"action, sci-fi, thriller, crime",nan,51,49,52,51,63,21681430,21.68,58607007,58.61,184.08,184081958,242668965,243,100,242.67,21.68
Rock Dog,2017,adaptation,nan,animation,nan,45,46,48,47,64,3704749,3.7,9420546,9.42,0,0,9420546,9.42,60,15.7,6.17
Rocketman,2019,based on a true story,nan,drama,Paramount Pictures,88,89,69,79,74,25725722,25.7,96368160,96.4,98.8,98811139,195179299,195.2,40,487.95,64.25
Rogue One,2016,sequel,nan,Adventure,nan,90,84,65,74.5,78,155081681,155.08,451407837,451,377.7,377700000,829107837,829.11,200,415,77.54
"Roman J. Israel, Esq.",2017,original screenplay,nan,"action, adventure",nan,66,50,58,54,63,61999,0.06,11532128,11.53,0,0,11532128,11.53,22,52.42,0.28
Romeo and Juliet,2013,adaptation,nan,"Drama, Romance",nan,48,22,41,32,59,520116,0.52,1162635,1.16,1.8,1800000,1162637,1,15,7.75,3.47
Room,2015,adaptation,nan,drama,nan,97,96,85,91,82,118298,0.12,1406104,1.41,6.3,6300000,12667721,13,6,211.13,1.97
Rough Night,2017,original screenplay,nan,"comedy, drama",nan,30,45,51,48,46,8004283,8,22105643,22.11,25.24,25241640,47347283,47.35,20,236.74,40.02
Rules Don't Apply,2016,original screenplay,nan,"comedy, drama",nan,42,55,59,57,62,1589625,1.59,3652206,4,0,0,3652206,3.65,25,15,6.36
Run All Night,2015,original screenplay,nan,action,nan,58,60,59,60,75,11012305,11.01,26461644,26.46,45.1,45100000,71561644,72,50,143.12,22.02
Rush ,2013,based on a true story,nan,"Action, Biography, Drama, Sport",nan,88,89,75,82,85,187289,0.19,26947624,26.95,63.3,63300000,90247624,90,38,237.49,0.49
Rush Hour 3,2007,sequel,nan,"action, comedy",nan,63,20,44,32,65,49100158,49.1,140125968,140.13,117.9,117896265,258022233,258,140,184.3,35.07
Rush Hour 3,2007,sequel,nan,"action, comedy",nan,63,20,44,32,65,49100158,49.1,140125968,140.13,117.9,117896265,258022233,258,140,184.3,35.07
Safe (2012),2012,original screenplay,nan,"action, crime, thriller",nan,60,57,55,56,63,7892539,7.89,17142080,17.14,23.2,23204106,40346186,40,30,134.49,26.31
Safe Haven,2013,adaptation,nan,"Drama, Mystery, Thriller, Romance",nan,67,12,34,23,54,21401594,21.4,71349120,71.35,26.25,26245020,97594140,98,28,348.55,76.43
Safe House,2012,original screenplay,nan,"action, crime, mystery",nan,64,53,52,53,65,40172720,40.17,126373434,126.37,81.7,81702771,208076205,208,85,244.8,47.26
Salmon Fishing in the Yemen,2012,adaptation,nan,"comedy, romance",nan,64,67,58,63,65,225894,0.23,9047981,9.05,25.52,25516670,34564651,35,15,230.43,1.51
Salt,2010,original screenplay,nan,"action, crime, mystery",nan,62,62,65,64,65,36000000,36,118310000,118.31,175.19,175190000,293500000,293.5,110,266.82,32.73
Same Kind of Different as Me,2017,adaptation,nan,drama,nan,92,29,49,39,70,2591985,2.59,6354910,6.35,0,0,6354910,6.35,6.5,97.77,39.88
San Andreas,2015,original screenplay,nan,action,nan,56,50,43,47,55,54588173,54.59,155190832,155.19,315.3,315300000,470490832,470,110,427.72,49.63
Sanctum,2011,original screenplay,nan,"adventure, thriller",nan,39,30,42,36,50,9400000,9.4,23210000,23.21,85.4,85400000,108610000,108.61,30,362.03,31.33
Sausage Party,2016,original screenplay,nan,Comedy,nan,54,83,66,74.5,57,34263534,34.26,97670358,97.67,42.04,42039468,139709826,139.71,19,735,180.33
Savages (2012),2012,adaptation,nan,"crime, thriller",nan,55,51,59,55,64,16016910,16.02,47382068,47.38,35.58,35584084,82966152,83,45,184.37,35.59
Saving Mr. Banks,2013,based on a true story,nan,"Biography, Drama, History, Comedy, Music, Family",nan,84,80,65,73,77,413373,0.41,83301580,83.3,29.24,29243000,112544580,113,35,321.56,1.18
Saw 3-D,2010,sequel,nan,"crime, horror",nan,47,10,24,17,54,22530000,22.53,45710000,45.71,90.44,90440000,136150000,136.15,20,680.75,112.65
Saw IV,2007,sequel,nan,horror,nan,62,18,36,27,61,31756764,31.76,63300095,63.3,76.05,76052538,139352633,139,10,1393.53,317.57
Saw IV,2007,sequel,nan,horror,nan,62,18,36,27,61,31756764,31.76,63300095,63.3,76.05,76052538,139352633,139,10,1393.53,317.57
Saw VI ,2009,sequel,nan,"horror, mystery",nan,67,40,30,35,64,14100000,14.1,27690000,27.69,40.5,40500000,68190000,68.19,11,619.91,128.18
Scary Movie 5,2013,sequel,nan,"Thriller, Horror, Comedy",nan,39,4,11,8,25,14157367,14.16,32015787,32.02,46.36,46362957,78378744,78,20,391.89,70.79
Scary Stories to Tell in the Dark,2019,adaptation,nan,horror,Lionsgate,72,79,61,70,65,20915346,20.9,68947075,68.9,35.6,35598430,104545505,104.5,25,418.18,83.6
Scott Pilgrim vs. the World,2010,adaptation,nan,"action, comedy, fantasy",nan,83,81,69,75,80,10600000,10.6,31520000,31.52,16.14,16140000,47660000,47.66,60,79.43,17.67
Scream,2022,nan,horror,mystery & thriller,Paramount Pictures,82,76,60,68,70,30018805,30,81641405,81.6,57.2,57233384,138874789,138.9,24,578.64,125.08
Scream 4,2011,sequel,nan,"horror, mystery",nan,57,58,52,55,69,18690000,18.69,38180000,38.18,58.96,58960000,97140000,97.14,40,242.85,46.73
Season Of The Witch,2011,adaptation,nan,"action, adventure, fantasy",nan,32,10,28,19,51,10600000,10.6,24830000,24.83,66.8,66800000,91630000,91.63,40,229.08,26.5
Second Act,2018,original screenplay,nan,"romance, comedy",nan,55,38,47,43,46,6489983,6.5,32947075,33,7,6600000,39547075,395,16,247.17,40.56
Secret in Their Eyes,2015,adaptation,nan,thriller,nan,41,41,45,43,43,6652996,6.65,20047288,20.05,9.3,9300000,29347288,29,19.5,150.5,34.12
See How They Run,2022,nan,comedy,"crime, mystery",Searchlight Pictures,69,74,60,67,61,3007657,3,9586237,9.6,11.3,11265438,20851675,20.9,40,52.13,7.52
Self/less,2015,original screenplay,nan,"sci-fi, thriller",nan,49,21,34,28,84,5403460,5,12279691,12,0,21434136,12279691,12,26,47.23,20.78
Serenity,2019,original screenplay,nan,"sci-fi, drama, mystery, thriller",Aviron Pictures,30,19,37,28,47,4415403,4.4,8547045,8.5,0,0,8547045,8.5,25,34.19,17.6
Seven Psychopaths,2012,original screenplay,nan,"comedy, crime, thriller",nan,71,83,66,75,74,4174915,4.17,15024049,15.02,4.4,4398212,19422261,19,15,129.48,27.83
Sex Tape,2014,original screenplayÃ,nan,"drama, comedy",nan,34,17,36,27,30,14608152,14.61,38543473,38.54,87.53,87526036,126069509,126,40,315.17,36.52
Sex and the City 2,2010,sequel,nan,"comedy, romance",nan,49,15,27,21,41,31000000,31,95350000,95.35,193,193000000,288350000,288.35,100,288.35,31
Sgt. Stubby: An American Hero,2018,based on a true story,nan,adventure,nan,97,84,57,71,79,1164403,1.2,3054285,3,0,0,3054285,31,25,12.22,4.66
Shaft,2019,sequel,nan,comedy,Warner Bros. Pictures,94,32,40,36,66,8901419,8.9,21360215,21.4,0,0,21360215,21.4,44,48.55,20.23
Shame,2011,original screenplay,nan,drama,nan,80,80,72,76,79,340000,0.34,3090000,3.09,13.784,13784000,16874000,16.87,6.5,259.6,5.23
Shark Night 3D,2011,original screenplay,nan,"horror, thriller",nan,25,16,22,19,45,8400000,8.4,18880000,18.88,21.26,21260000,40140000,40.14,25,160.56,33.6
Shaun the Sheep Movie,2015,adaptation,nan,animation,nan,82,99,81,90,89,4038962,4.04,19375982,19.38,64.1,64100000,83475982,83,25,333.9,16.16
Shazam!,2019,adaptation,nan,"action, adventure, comedy",Warner Bros. Pictures,90,91,71,81,81,53505326,53.5,56830326,56.8,102.3,102300000,159130326,159.1,100,159.13,53.5
She Said,2022,nan,drama,history,Universal Pictures,91,87,74,81,52,2217010,2.2,5825995,5.8,8.1,8121579,13947574,13.9,32,43.59,6.93
She's Out of My League,2010,original screenplay,nan,"comedy, romance",nan,60,57,46,52,68,9800000,9.8,32010000,32.01,17.77,17770000,49780000,49.78,20,248.9,49
Sherlock Gnomes,2018,sequel,nan,adventure,nan,35,27,36,32,42,10604774,10.6,43242871,43,46,45729035,88971906,890,59,150.8,17.97
Sherlock Holmes ,2009,adaptation,nan,"action, adventure, crime",nan,81,70,57,64,73,62300000,62.3,209020000,209.02,315,315000000,524020000,524.02,90,582.24,69.22
Sherlock Holmes 2,2011,sequel,nan,"action, adventure, crime",nan,79,60,48,54,74,39630000,39.63,186850000,186.85,358.6,358600000,545450000,545.45,125,436.36,31.7
Shoot 'Em Up,2007,original screenplay,nan,action,nan,65,67,49,58,78,5716554,5.72,12807139,12.81,13.91,13911411,26718550,27,39,68.51,14.66
Shoot 'Em Up,2007,original screenplay,nan,action,nan,65,67,49,58,78,5716554,5.72,12807139,12.81,13.91,13911411,26718550,27,39,68.51,14.66
Shooter,2007,adaptation,nan,action,nan,80,47,53,50,81,14523571,14.52,47003582,47,48.69,48693414,95696996,96,61,156.88,23.81
Shooter,2007,adaptation,nan,action,nan,80,47,53,50,81,14523571,14.52,47003582,47,48.69,48693414,95696996,96,61,156.88,23.81
Show Dogs,2018,original screenplay,nan,comedy,nan,25,17,31,24,13,6023972,6,17744685,18,21,20788427,38533112,385,5.5,700.6,109.53
Shrek Forever After,2010,sequel,nan,"animation, adventure, comedy",nan,64,57,58,58,64,70800000,70.8,238740000,238.74,513.86,513860000,752600000,752.6,165,456.12,42.91
Shrek the Third,2007,sequel,nan,animation,nan,52,42,58,50,66,121629270,121.63,322719944,322.72,476.24,476238221,798958165,799,160,499.35,76.02
Shrek the Third,2007,sequel,nan,animation,nan,52,42,58,50,66,121629270,121.63,322719944,322.72,476.24,476238221,798958165,799,160,499.35,76.02
Shutter Island,2010,adaptation,nan,"mystery, thriller",nan,73,68,63,66,77,41000000,41,128010000,128.01,166.79,166790000,294800000,294.8,80,368.5,51.25
Sicario,2015,original screenplay,nan,"action, drama",nan,88,93,81,87,85,12148041,12.15,43923193,43.92,29.98,29982451,73905644,74,30,246.35,40.49
Sicario: Day of the Soldado,2018,sequel,nan,action,nan,67,63,61,62,70,19007566,19,49931757,50,23,23190049,73121806,731,35,208.92,54.31
Sicko,2007,documentary,nan,documentary,nan,87,93,74,84,76,3600179,3.6,24540079,24.54,11.23,11227679,35767758,36,9,397.42,40
Sicko,2007,documentary,nan,documentary,nan,87,93,74,84,76,3600179,3.6,24540079,24.54,11.23,11227679,35767758,36,9,397.42,40
Side Effects,2013,original screenplay,nan,"Drama, Thriller, Crime",nan,70,83,75,79,75,9303145,9.3,32172757,32.17,31.2,31200000,63372757,63,30,211.24,31.01
Silence,2016,adaptation,nan,Drama,nan,75,88,82,85,85,130880,0.13,355070,0,4.63,4625000,4980070,4.98,50,10,0.26
Silver Linings Playbook,2012,adaptation,nan,"comedy, romance",nan,86,92,81,87,83,443003,0.44,132092958,132.09,104.32,104319495,236412453,236,21,1125.77,2.11
Sing,2016,original screenplay,nan,Animation,nan,75,69,59,64,52,35258145,35.26,187037310,187,103.71,103705860,290743170,290.74,75,388,47.01
Sinister,2012,original screenplay,nan,"horror, mystery, thriller",nan,61,63,53,58,71,18007634,18.01,48086903,48.09,29.63,29625536,77712439,78,3,2590.41,600.25
Sinister 2,2015,sequel,nan,horror,nan,34,14,32,23,57,10542116,10.54,27740955,27.74,50,50000000,77740955,78,10,777.41,105.42
Sisters,2015,original screenplay,nan,comedy,nan,63,59,58,59,63,13922855,13.92,86126310,86.13,15.1,15100000,101226310,101,30,337.42,46.41
